rv,jumps,dts,vix,rets,c,vixann
4.7683e-05,0.0,['19/04/1990'],0.00016681600529100534,-0.0077488933867379435,4.7682520521665e-05,22.46
5.9202e-05,0.0,['20/04/1990'],0.00017998971560846558,-0.008823455589440723,5.92019578852184e-05,23.33
6.1776e-05,0.0,['23/04/1990'],0.00019302433862433864,-0.012219255267924348,6.17761982191692e-05,24.16
3.4644e-05,0.0,['24/04/1990'],0.0001557175925925926,-0.0020864524283388136,3.46443440312696e-05,21.7
3.7652e-05,0.0,['25/04/1990'],0.0001438953703703704,0.005042357337405787,3.76518864543073e-05,20.86
9.3421e-05,0.0,['26/04/1990'],0.00013560267857142861,0.0026768945979722537,9.34207465130618e-05,20.25
6.7554e-05,0.0,['27/04/1990'],0.00016282939814814815,-0.011510179489300299,6.75544298239336e-05,22.19
3.1188e-05,0.0,['30/04/1990'],0.00012600211640211638,0.005121921760942102,3.11875070094609e-05,19.52
4.3033e-05,2.55427386287068e-05,['1/05/1990'],0.00011232304894179893,0.0043737344438183326,1.74898664187459e-05,18.43
1.9537e-05,0.0,['2/05/1990'],0.00012343333333333334,0.006689389454955001,1.95365458384106e-05,19.32
3.2414e-05,0.0,['3/05/1990'],0.0001048928902116402,0.003253491415534219,3.24137615153168e-05,17.81
8.4189e-05,0.0,['4/05/1990'],9.874285714285715e-05,0.008368498004166855,8.41885960741212e-05,17.28
1.693e-05,0.0,['7/05/1990'],0.00010301669973544972,0.00630415096734693,1.69302573355579e-05,17.65
1.8185e-05,0.0,['8/05/1990'],0.0001130555886243386,0.004336748965855631,1.8184684870119e-05,18.49
3.6856e-05,0.0,['9/05/1990'],0.00011489735449735452,0.0024822241781216198,3.68555740643862e-05,18.64
1.7164e-05,0.0,['10/05/1990'],0.00011428177910052913,0.0027960640340125302,1.71635953061489e-05,18.59
0.00010281,0.0,['11/05/1990'],0.0001297738425925926,0.023512910984749714,0.000102806109518845,19.81
8.6525e-05,0.0,['14/05/1990'],0.0001341334656084656,0.007782140442054949,8.65246799188346e-05,20.14
2.2519e-05,0.0,['15/05/1990'],0.00012561511243386241,-0.0013257550987698563,2.25189620078916e-05,19.49
4.4962e-05,0.0,['16/05/1990'],0.00010371828703703704,-0.0007906478076077477,4.49624818717856e-05,17.71
4.0605e-05,2.29824031139793e-05,['17/05/1990'],9.86286044973545e-05,0.0013268030232735275,1.76228168484628e-05,17.27
1.7002e-05,0.0,['18/05/1990'],9.783068783068782e-05,0.00047947427975022415,1.70018632000374e-05,17.2
6.0825e-05,0.0,['21/05/1990'],9.244656084656083e-05,0.009429795963902228,6.08253712106399e-05,16.72
9.4579e-05,0.0,['22/05/1990'],0.00010524656084656087,0.0012003965541201424,9.45788992693474e-05,17.84
2.7239e-05,0.0,['23/05/1990'],9.760330687830689e-05,0.0023964788819863516,2.72388721704099e-05,17.18
1.8577e-05,0.0,['24/05/1990'],0.00010360119047619047,-0.0024522793395644225,1.85767091205353e-05,17.7
6.2525e-05,0.0,['25/05/1990'],9.920052910052911e-05,-0.010743592027007844,6.25250869871436e-05,17.32
5.02e-05,0.0,['29/05/1990'],0.00011625744047619047,0.01697396847944727,5.01997183502294e-05,18.75
4.0003e-05,0.0,['30/05/1990'],0.00010057989417989418,0.000582112530470724,4.00026854308724e-05,17.44
4.8028e-06,0.0,['31/05/1990'],9.977410714285716e-05,0.0010248030920850617,4.80276744931127e-06,17.37
2.8249e-05,0.0,['1/06/1990'],9.65833664021164e-05,0.005328633931319017,2.82488940851146e-05,17.09
3.5647e-05,0.0,['4/06/1990'],0.0001118360119047619,0.01160766427746877,3.56466960594602e-05,18.39
2.2963e-05,1.44116311544491e-05,['5/06/1990'],0.00011900162037037034,-0.0020707325801565925,8.55141273141105e-06,18.97
2.8163e-05,0.0,['6/06/1990'],0.00010034933862433865,-0.004592681664790692,2.81628983270501e-05,17.42
4.163e-05,0.0,['7/06/1990'],9.42243386243386e-05,-0.00497178648390076,4.16297800222231e-05,16.88
5.7906e-05,0.0,['8/06/1990'],0.00010220119047619046,-0.012301709452578875,5.79061308605973e-05,17.58
2.4141e-05,0.0,['11/06/1990'],8.829219576719576e-05,0.008107327078820906,2.41405686365066e-05,16.34
7.4155e-05,0.0,['12/06/1990'],9.112433862433864e-05,0.012694570652857975,7.41546359292325e-05,16.6
4.6036e-05,0.0,['13/06/1990'],9.988902116402114e-05,-0.0036928168888752076,4.60364784577822e-05,17.38
3.9902e-05,0.0,['14/06/1990'],0.00010011904761904762,-0.005496029223377326,3.99024372460689e-05,17.4
